KO	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
K00016	958.081369	39.200324	0.040915	866.000000	1315.000000	1.518476	0.787331	1201.000000	0.870000	0.822000	0.788000	0.733000	0.548000	0.412000	0.182000	0.013300	8.320000e-04	0.001660	0.004160	0.008320	0.013300	0.019900	0.266000	0.421000	0.663000	0.753000	0.230000	0.459000	0.419000	0.113000	0.063400	0.971590	0.978228	0.992009	0.993529
K00018	960.012987	18.612404	0.019388	228.000000	231.000000	1.013158	0.114201	238.000000	4.281000	4.147000	4.050000	3.865000	2.915000	2.075000	0.334000	0.336000	0.004200	0.008400	0.016800	0.050400	0.336000	0.411000	0.491000	0.626000	0.852000	0.719000	0.276000	0.524000	0.510000	0.116000	0.096300	0.816433	0.879046	0.767131	0.894737
K00019	766.750000	87.270372	0.113819	632.000000	744.000000	1.177215	0.410156	745.000000	1.093000	1.068000	1.052000	1.038000	0.895000	0.645000	0.305000	0.106000	0.001340	0.001340	0.002680	0.008050	0.106000	0.412000	0.502000	0.622000	0.813000	0.762000	0.303000	0.584000	0.634000	0.114000	0.052800	0.956399	0.866365	0.960401	0.996324
K00020	890.562848	70.402511	0.079054	534.000000	899.000000	1.683521	1.093658	958.000000	1.045000	0.993000	0.924000	0.876000	0.650000	0.433000	0.086700	0.003130	0.001040	0.001040	0.001040	0.002080	0.003130	0.005210	0.008350	0.022900	0.416000	0.776000	0.261000	0.592000	0.636000	0.117000	0.069300	0.887727	0.945146	0.760113	0.994390
K00021	1237.852535	117.878337	0.095228	202.000000	217.000000	1.074257	0.281133	231.000000	14.774000	9.632000	6.038000	4.800000	3.649000	2.753000	0.144000	0.047600	0.004320	0.008650	0.017300	0.025900	0.047600	0.077900	0.108000	0.207000	0.471000	0.729000	0.304000	0.514000	0.510000	0.105000	0.074600	0.959605	0.999102	0.959605	1.000000
K00023	732.808349	51.875136	0.070789	388.000000	527.000000	1.358247	0.657306	527.000000	1.480000	1.447000	1.417000	1.377000	1.227000	0.994000	0.396000	0.415000	0.001890	0.003790	0.007590	0.166000	0.415000	0.518000	0.618000	0.777000	0.950000	0.708000	0.330000	0.568000	0.618000	0.105000	0.033300	0.972006	0.917919	0.994323	1.000000
K00024	960.278121	40.707251	0.042391	1570.000000	1618.000000	1.030573	0.182980	1618.000000	0.767000	0.739000	0.618000	0.543000	0.392000	0.277000	0.175000	0.004320	6.180000e-04	6.180000e-04	0.001230	0.002470	0.004320	0.019100	0.237000	0.397000	0.581000	0.777000	0.260000	0.528000	0.523000	0.110000	0.096700	0.966838	0.997568	0.978313	0.999941
K00027	1453.319243	231.629609	0.159380	1157.000000	1585.000000	1.369922	0.762255	1152.000000	1.851000	1.552000	1.370000	1.102000	0.743000	0.497000	0.139000	0.012100	8.680000e-04	8.680000e-04	0.001730	0.003470	0.012100	0.028600	0.081500	0.311000	0.481000	0.752000	0.266000	0.497000	0.484000	0.108000	0.078900	0.908630	0.990525	0.933405	0.995169
K00029	2034.209076	441.461061	0.217019	992.000000	1234.000000	1.243952	0.520967	1273.000000	1.913000	1.818000	1.790000	1.648000	1.296000	0.974000	0.259000	0.031400	7.850000e-04	0.001570	0.003920	0.012500	0.031400	0.307000	0.422000	0.556000	0.743000	0.709000	0.192000	0.553000	0.577000	0.107000	0.075600	0.929922	0.934255	0.929885	0.943708
K00030	1032.036585	55.143992	0.053432	239.000000	246.000000	1.029289	0.192233	303.000000	4.145000	3.702000	3.382000	3.217000	2.640000	2.036000	0.318000	0.184000	0.003300	0.006600	0.019800	0.052800	0.184000	0.379000	0.495000	0.653000	0.861000	0.690000	0.306000	0.508000	0.512000	0.103000	0.084200	0.949418	0.995093	0.991437	1.000000
K00031	1540.319251	439.457049	0.285303	1861.000000	2083.000000	1.119291	0.330784	1740.000000	1.435000	1.383000	1.095000	0.748000	0.495000	0.315000	0.148000	0.004590	5.740000e-04	0.001140	0.001720	0.002290	0.004590	0.079800	0.208000	0.316000	0.478000	0.715000	0.243000	0.515000	0.522000	0.104000	0.094500	0.981442	0.988947	0.964003	0.995682
K00033	1281.395604	241.165509	0.188205	1545.000000	1911.000000	1.236893	0.496945	1398.000000	1.143000	1.067000	1.009000	0.895000	0.686000	0.515000	0.152000	0.003570	7.150000e-04	7.150000e-04	0.001430	0.002860	0.003570	0.005720	0.052200	0.362000	0.595000	0.739000	0.108000	0.522000	0.507000	0.114000	0.093200	0.988545	0.998659	0.989312	0.997801
K00034	830.866295	104.657697	0.125962	283.000000	359.000000	1.268551	0.557318	359.000000	3.314000	2.635000	2.192000	2.094000	1.682000	1.264000	0.272000	0.111000	0.002780	0.005570	0.019400	0.072400	0.111000	0.311000	0.431000	0.565000	0.757000	0.767000	0.337000	0.498000	0.480000	0.108000	0.081800	0.825325	0.882968	0.833546	0.999086
K00035	933.406250	14.034977	0.015036	94.000000	96.000000	1.021277	0.145079	96.000000	9.854000	9.802000	9.739000	9.656000	9.135000	7.791000	0.602000	0.625000	0.020800	0.375000	0.468000	0.541000	0.625000	0.729000	0.833000	0.958000	1.000000	0.772000	0.543000	0.642000	0.639000	0.042200	0.037700	0.934480	0.996134	0.993261	1.000000
K00036	1488.073746	84.398870	0.056717	1655.000000	2034.000000	1.229003	0.542180	1686.000000	1.022000	0.962000	0.885000	0.819000	0.636000	0.469000	0.148000	0.003550	5.930000e-04	5.930000e-04	5.930000e-04	0.001770	0.003550	0.007110	0.033200	0.358000	0.574000	0.761000	0.169000	0.534000	0.540000	0.118000	0.104000	0.993697	0.996035	0.992570	0.999904
K00040	1490.983607	110.732538	0.074268	487.000000	549.000000	1.127310	0.339774	549.000000	3.207000	3.003000	2.712000	2.604000	2.153000	1.568000	0.214000	0.009100	0.001820	0.001820	0.001820	0.003640	0.009100	0.078300	0.366000	0.502000	0.703000	0.776000	0.261000	0.572000	0.574000	0.109000	0.062000	0.943402	0.981008	0.988204	0.998881
K00041	1415.242718	148.505442	0.104933	292.000000	309.000000	1.058219	0.234559	309.000000	5.084000	4.779000	4.721000	4.644000	4.174000	3.284000	0.376000	0.414000	0.003230	0.006470	0.019400	0.080900	0.414000	0.504000	0.582000	0.715000	0.867000	0.742000	0.294000	0.512000	0.518000	0.091500	0.051600	0.999991	0.983417	1.000000	1.000000
K00042	888.794953	29.533213	0.033228	429.000000	634.000000	1.477855	0.646774	634.000000	1.440000	1.419000	1.410000	1.389000	1.212000	0.930000	0.287000	0.022000	0.001570	0.001570	0.004730	0.007880	0.022000	0.386000	0.495000	0.623000	0.832000	0.774000	0.316000	0.594000	0.615000	0.096200	0.080400	0.833393	0.873407	0.698150	0.978101
K00046	781.457399	35.252554	0.045111	546.000000	669.000000	1.225275	0.512757	669.000000	1.309000	1.240000	1.170000	1.113000	0.913000	0.671000	0.233000	0.008960	0.001490	0.001490	0.001490	0.004480	0.008960	0.109000	0.396000	0.527000	0.730000	0.757000	0.266000	0.562000	0.564000	0.109000	0.103000	0.946984	0.890439	0.961740	0.998761
K00048	1149.326733	21.349547	0.018576	202.000000	202.000000	1.000000	0.000000	202.000000	5.717000	5.717000	5.717000	5.693000	5.564000	5.084000	0.708000	0.752000	0.400000	0.514000	0.579000	0.668000	0.752000	0.841000	0.930000	0.985000	0.995000	0.731000	0.334000	0.526000	0.536000	0.081100	0.025700	0.975505	0.999274	0.988102	1.000000
K00050	1264.842324	124.474597	0.098411	416.000000	482.000000	1.158654	0.443233	482.000000	3.060000	2.753000	2.636000	2.572000	2.145000	1.549000	0.196000	0.016500	0.002070	0.004140	0.006220	0.010300	0.016500	0.035200	0.321000	0.473000	0.684000	0.829000	0.305000	0.633000	0.660000	0.099400	0.054000	0.824135	0.910416	0.845503	0.920000
K00052	1069.405870	61.560593	0.057565	1862.000000	1976.000000	1.061224	0.284869	1440.000000	0.822000	0.796000	0.753000	0.693000	0.544000	0.427000	0.152000	0.002770	6.940000e-04	6.940000e-04	6.940000e-04	0.001380	0.002770	0.005550	0.020100	0.365000	0.622000	0.763000	0.182000	0.540000	0.548000	0.112000	0.092600	0.961260	0.967467	0.976075	0.988959
K00053	1089.910244	180.442955	0.165558	1956.000000	2050.000000	1.048057	0.216320	1480.000000	1.067000	0.958000	0.690000	0.666000	0.550000	0.423000	0.201000	0.018900	6.750000e-04	6.750000e-04	0.001350	0.004050	0.018900	0.100000	0.156000	0.456000	0.725000	0.765000	0.200000	0.516000	0.514000	0.104000	0.096800	0.988062	0.999981	0.986660	1.000000
K00054	1297.720588	168.374963	0.129747	407.000000	408.000000	1.002457	0.049568	408.000000	3.477000	3.235000	3.147000	2.997000	2.316000	1.686000	0.240000	0.022000	0.007350	0.012200	0.017100	0.019600	0.022000	0.105000	0.384000	0.517000	0.745000	0.762000	0.280000	0.453000	0.421000	0.098000	0.044800	0.976136	0.994363	0.984071	1.000000
K00057	1008.252068	50.045646	0.049636	2204.000000	2297.000000	1.042196	0.201082	2297.000000	0.493000	0.473000	0.433000	0.392000	0.275000	0.208000	0.111000	0.002170	4.350000e-04	8.700000e-04	8.700000e-04	0.001300	0.002170	0.004780	0.009570	0.153000	0.465000	0.791000	0.189000	0.520000	0.512000	0.132000	0.109000	0.977278	0.991458	0.977050	1.000000
K00058	1237.397427	268.449215	0.216947	1979.000000	2954.000000	1.492673	0.891666	2131.000000	0.886000	0.798000	0.589000	0.442000	0.302000	0.205000	0.056800	0.001400	4.690000e-04	4.690000e-04	9.380000e-04	9.380000e-04	0.001400	0.001870	0.003750	0.012200	0.207000	0.779000	0.230000	0.524000	0.526000	0.121000	0.110000	0.952871	0.879418	0.962460	0.967671
K00060	1033.353846	40.138582	0.038843	575.000000	585.000000	1.017391	0.130838	585.000000	1.815000	1.779000	1.757000	1.748000	1.639000	1.410000	0.427000	0.470000	0.001700	0.003410	0.005120	0.076900	0.470000	0.576000	0.724000	0.849000	0.970000	0.731000	0.338000	0.546000	0.533000	0.088400	0.066000	0.989495	0.980716	0.934326	1.000000
K00064	1012.436170	60.568580	0.059825	210.000000	282.000000	1.342857	0.567519	282.000000	4.031000	3.797000	3.666000	3.475000	2.939000	2.099000	0.312000	0.258000	0.003540	0.010600	0.017700	0.035400	0.258000	0.407000	0.492000	0.606000	0.819000	0.779000	0.366000	0.617000	0.652000	0.113000	0.054100	0.967040	0.895422	0.971495	1.000000
K00065	766.744681	20.997811	0.027386	491.000000	564.000000	1.148676	0.367414	610.000000	1.296000	1.277000	1.249000	1.232000	1.040000	0.832000	0.234000	0.008190	0.001630	0.001630	0.003270	0.004910	0.008190	0.024500	0.395000	0.565000	0.839000	0.767000	0.299000	0.549000	0.530000	0.098800	0.062500	0.879552	0.870750	0.699230	0.942857
K00067	908.231059	172.597669	0.190037	1476.000000	1861.000000	1.260840	0.526309	1862.000000	0.627000	0.545000	0.443000	0.345000	0.243000	0.179000	0.036200	0.001610	5.370000e-04	5.370000e-04	0.001070	0.001070	0.001610	0.002680	0.004290	0.008590	0.030000	0.806000	0.219000	0.523000	0.517000	0.137000	0.123000	0.982389	0.989341	0.985011	1.000000
K00068	790.983389	34.854886	0.044065	240.000000	301.000000	1.254167	0.436302	301.000000	2.794000	2.794000	2.744000	2.671000	2.385000	1.916000	0.355000	0.388000	0.003320	0.003320	0.003320	0.009960	0.388000	0.491000	0.561000	0.644000	0.897000	0.675000	0.237000	0.483000	0.514000	0.081900	0.034400	0.979116	0.996889	0.992857	1.000000
K00074	1015.559109	270.564810	0.266420	965.000000	1751.000000	1.814508	1.209316	1791.000000	0.857000	0.657000	0.500000	0.462000	0.376000	0.268000	0.059900	0.001670	5.580000e-04	5.580000e-04	0.001110	0.001110	0.001670	0.002790	0.005580	0.019500	0.138000	0.771000	0.279000	0.580000	0.623000	0.121000	0.070100	0.945424	0.908457	0.967537	0.996139
K00075	970.472368	112.967935	0.116405	2202.000000	2280.000000	1.035422	0.189738	2283.000000	0.581000	0.515000	0.412000	0.320000	0.217000	0.151000	0.057700	0.001750	4.380000e-04	4.380000e-04	8.760000e-04	0.001310	0.001750	0.002620	0.004380	0.015300	0.208000	0.788000	0.219000	0.499000	0.468000	0.132000	0.098200	0.985145	0.993141	0.984567	0.999734
K00076	783.956522	26.486599	0.033786	272.000000	276.000000	1.014706	0.120595	276.000000	3.144000	3.126000	3.054000	2.844000	2.289000	1.862000	0.445000	0.456000	0.018100	0.021700	0.282000	0.373000	0.456000	0.539000	0.615000	0.710000	0.927000	0.727000	0.309000	0.525000	0.472000	0.113000	0.059700	0.946479	0.958375	0.920089	0.993865
K00077	935.435644	63.536594	0.067922	1355.000000	2121.000000	1.565314	0.913937	1772.000000	0.784000	0.669000	0.500000	0.376000	0.221000	0.133000	0.058700	0.003380	5.640000e-04	0.001120	0.001690	0.002250	0.003380	0.005070	0.009020	0.027000	0.236000	0.790000	0.198000	0.548000	0.553000	0.134000	0.117000	0.982038	0.992733	0.973355	0.999770
K00082	715.067308	110.639208	0.154726	99.000000	104.000000	1.050505	0.298764	104.000000	9.519000	7.817000	6.759000	5.826000	3.826000	2.250000	0.183000	0.048000	0.009610	0.009610	0.028800	0.038400	0.048000	0.086500	0.278000	0.384000	0.519000	0.778000	0.235000	0.551000	0.596000	0.177000	0.137000	0.792028	0.979405	0.766691	1.000000
K00087	2176.923664	407.051228	0.186985	121.000000	131.000000	1.082645	0.493065	131.000000	18.587000	17.801000	17.564000	17.519000	17.274000	16.877000	0.488000	0.603000	0.007630	0.015200	0.083900	0.549000	0.603000	0.656000	0.725000	0.793000	0.900000	0.683000	0.322000	0.519000	0.529000	0.086600	0.004200	0.943007	0.995181	0.629388	1.000000
K00088	1391.789700	190.461301	0.136846	2196.000000	2796.000000	1.273224	0.625963	2291.000000	0.726000	0.663000	0.643000	0.590000	0.437000	0.332000	0.197000	0.010000	4.360000e-04	8.720000e-04	0.001300	0.003050	0.010000	0.037500	0.315000	0.453000	0.722000	0.766000	0.293000	0.542000	0.549000	0.116000	0.108000	0.971593	0.970458	0.966704	0.999641
K00090	980.120690	37.968443	0.038739	401.000000	406.000000	1.012469	0.111104	408.000000	2.595000	2.458000	2.387000	2.367000	2.125000	1.735000	0.407000	0.438000	0.002450	0.004900	0.019600	0.274000	0.438000	0.529000	0.629000	0.781000	0.955000	0.730000	0.293000	0.555000	0.556000	0.102000	0.075200	0.949250	0.973423	0.648602	0.999876
K00091	1015.894737	55.321944	0.054456	196.000000	228.000000	1.163265	0.409975	228.000000	4.978000	4.508000	4.381000	4.298000	3.491000	2.320000	0.208000	0.021900	0.004380	0.004380	0.004380	0.013100	0.021900	0.048200	0.385000	0.482000	0.640000	0.791000	0.285000	0.600000	0.650000	0.115000	0.060700	0.957949	0.926249	0.780027	1.000000
K00094	1041.550459	13.305169	0.012774	109.000000	109.000000	1.000000	0.000000	109.000000	9.587000	9.577000	9.577000	9.577000	9.532000	9.412000	0.745000	0.899000	0.018300	0.587000	0.614000	0.688000	0.899000	0.935000	0.972000	0.990000	1.000000	0.738000	0.368000	0.510000	0.488000	0.047100	0.005760	0.999362	1.000000	0.999362	1.000000
K00096	1141.793734	148.494017	0.130053	356.000000	383.000000	1.075843	0.285579	383.000000	4.117000	3.412000	2.866000	2.420000	1.621000	1.114000	0.153000	0.018200	0.002610	0.005220	0.005220	0.007830	0.018200	0.046900	0.135000	0.334000	0.514000	0.776000	0.274000	0.516000	0.499000	0.134000	0.126000	0.970500	0.977273	0.957067	0.998797
K00097	1016.837178	124.310948	0.122253	1213.000000	1474.000000	1.215169	0.519298	1474.000000	0.844000	0.758000	0.672000	0.594000	0.442000	0.311000	0.091400	0.004070	6.780000e-04	0.001350	0.002030	0.003390	0.004070	0.006100	0.008810	0.035200	0.400000	0.796000	0.233000	0.558000	0.564000	0.122000	0.098900	0.976609	0.980698	0.973613	0.982415
K00098	1026.880165	65.254609	0.063546	212.000000	242.000000	1.141509	0.362683	242.000000	4.528000	4.442000	4.351000	4.264000	3.644000	2.710000	0.453000	0.466000	0.008260	0.016500	0.322000	0.409000	0.466000	0.537000	0.615000	0.764000	0.946000	0.784000	0.343000	0.595000	0.584000	0.096200	0.087200	0.947834	0.833542	0.970318	0.969683
K00099	1172.993492	63.589252	0.054211	1814.000000	1844.000000	1.016538	0.127568	1844.000000	0.721000	0.679000	0.626000	0.562000	0.424000	0.319000	0.147000	0.004330	5.420000e-04	5.420000e-04	0.001080	0.001620	0.004330	0.007590	0.033000	0.338000	0.569000	0.782000	0.210000	0.523000	0.524000	0.129000	0.109000	0.976698	0.998552	0.976131	1.000000
K00100	1051.916209	262.333004	0.249386	355.000000	728.000000	2.050704	3.543550	651.000000	3.322000	2.410000	1.354000	0.643000	0.248000	0.081400	0.051200	0.007680	0.001530	0.001530	0.003070	0.004600	0.007680	0.013800	0.026100	0.064500	0.185000	0.744000	0.248000	0.537000	0.559000	0.125000	0.104000	0.834385	0.638723	0.752156	0.942563
K00101	1178.262514	48.466966	0.041134	680.000000	899.000000	1.322059	0.619360	904.000000	1.759000	1.487000	1.303000	1.246000	1.044000	0.726000	0.172000	0.009950	0.001100	0.002210	0.003310	0.005530	0.009950	0.034200	0.109000	0.425000	0.617000	0.776000	0.316000	0.593000	0.615000	0.099600	0.063300	0.974840	0.964267	0.988962	0.992908
K00102	1540.360825	416.976040	0.270700	244.000000	291.000000	1.192623	0.496683	304.000000	5.743000	4.970000	4.651000	4.506000	3.773000	2.799000	0.095600	0.009860	0.003280	0.006570	0.006570	0.009860	0.009860	0.016400	0.023000	0.036100	0.444000	0.746000	0.304000	0.587000	0.627000	0.114000	0.072700	0.927432	0.766027	0.905997	0.984893
K00104	1402.464052	257.957264	0.183931	731.000000	918.000000	1.255814	0.550421	921.000000	1.737000	1.681000	1.580000	1.483000	1.132000	0.785000	0.111000	0.004340	0.001080	0.002170	0.002170	0.003250	0.004340	0.005420	0.010800	0.141000	0.490000	0.777000	0.280000	0.575000	0.606000	0.124000	0.085000	0.922183	0.943818	0.839102	0.990420
K00105	1784.236364	194.122142	0.108798	54.000000	55.000000	1.018519	0.136083	55.000000	34.963000	33.472000	33.436000	33.309000	32.236000	28.200000	0.677000	0.781000	0.072700	0.472000	0.545000	0.654000	0.781000	0.854000	0.909000	0.927000	0.981000	0.481000	0.361000	0.431000	0.441000	0.027300	0.012700	0.982784	1.000000	0.797123	1.000000
K00108	1666.685051	82.150552	0.049290	499.000000	689.000000	1.380762	0.861557	727.000000	2.573000	2.442000	2.309000	2.221000	1.971000	1.482000	0.206000	0.012300	0.001370	0.001370	0.002750	0.006870	0.012300	0.027500	0.339000	0.508000	0.713000	0.780000	0.332000	0.598000	0.618000	0.089200	0.056100	0.945975	0.839572	0.747153	0.958527
K00111	1567.330241	141.575354	0.090329	1513.000000	2156.000000	1.424983	0.667527	1561.000000	1.588000	1.322000	1.008000	0.786000	0.513000	0.324000	0.089100	0.003840	6.400000e-04	6.400000e-04	0.001920	0.002560	0.003840	0.007040	0.021700	0.120000	0.360000	0.800000	0.267000	0.554000	0.570000	0.126000	0.100000	0.976605	0.989430	0.976931	1.000000
K00112	1270.616949	50.741633	0.039935	291.000000	295.000000	1.013746	0.143178	295.000000	4.979000	4.518000	4.301000	4.240000	3.732000	2.820000	0.330000	0.332000	0.006770	0.010100	0.016900	0.050800	0.332000	0.440000	0.542000	0.654000	0.806000	0.829000	0.329000	0.576000	0.563000	0.087300	0.041200	0.980647	1.000000	0.980804	1.000000
K00113	1225.353535	75.260536	0.061419	295.000000	297.000000	1.006780	0.082199	297.000000	5.043000	4.239000	4.040000	4.000000	3.811000	3.262000	0.313000	0.063900	0.003360	0.003360	0.006730	0.020200	0.063900	0.420000	0.582000	0.710000	0.858000	0.707000	0.328000	0.525000	0.539000	0.081600	0.049100	0.992378	0.999900	0.990928	1.000000
K00116	1523.097190	94.635135	0.062133	717.000000	854.000000	1.191074	0.476871	854.000000	2.090000	1.955000	1.806000	1.692000	1.411000	1.088000	0.350000	0.329000	0.002340	0.007020	0.016300	0.112000	0.329000	0.434000	0.542000	0.690000	0.873000	0.751000	0.112000	0.515000	0.539000	0.117000	0.097200	0.982365	0.999971	0.982055	1.000000
K00117	2320.608108	254.462749	0.109653	345.000000	444.000000	1.286957	0.797145	444.000000	6.139000	5.608000	5.436000	5.220000	4.612000	3.605000	0.199000	0.011200	0.002250	0.002250	0.002250	0.004500	0.011200	0.029200	0.274000	0.504000	0.727000	0.733000	0.263000	0.593000	0.599000	0.082500	0.046400	0.942775	0.983037	0.954654	0.999577
K00121	1114.857023	56.035731	0.050263	905.000000	1189.000000	1.313812	0.709354	876.000000	1.437000	1.359000	1.279000	1.260000	1.135000	0.898000	0.327000	0.229000	0.001140	0.002280	0.003420	0.017100	0.229000	0.447000	0.550000	0.675000	0.843000	0.775000	0.326000	0.569000	0.594000	0.094300	0.061200	0.951883	0.967890	0.954230	0.990133
K00124	943.959677	317.390495	0.336233	665.000000	868.000000	1.305263	0.569072	868.000000	2.018000	1.767000	1.096000	0.938000	0.739000	0.519000	0.144000	0.011500	0.001150	0.001150	0.001150	0.003450	0.011500	0.072500	0.148000	0.277000	0.516000	0.747000	0.336000	0.590000	0.598000	0.088000	0.064100	0.955306	0.958288	0.982707	0.992343
K00127	713.382812	211.324270	0.296228	586.000000	768.000000	1.310580	0.606904	768.000000	1.575000	1.273000	0.921000	0.760000	0.552000	0.346000	0.137000	0.026000	0.001300	0.002600	0.005200	0.013000	0.026000	0.052000	0.122000	0.289000	0.473000	0.765000	0.290000	0.570000	0.569000	0.100000	0.075900	0.945762	0.970390	0.972851	0.996054
K00128	1484.494949	143.953870	0.096972	892.000000	2376.000000	2.663677	2.092449	2008.000000	0.912000	0.815000	0.737000	0.679000	0.528000	0.340000	0.060900	0.001490	4.980000e-04	4.980000e-04	4.980000e-04	9.960000e-04	0.001490	0.002490	0.003980	0.008960	0.252000	0.757000	0.247000	0.580000	0.625000	0.116000	0.062300	0.839084	0.862664	0.800105	0.949632
K00130	1473.627995	53.248266	0.036134	550.000000	793.000000	1.441818	1.217389	734.000000	2.148000	2.080000	2.021000	1.967000	1.727000	1.287000	0.249000	0.009530	0.001360	0.001360	0.002720	0.004080	0.009530	0.168000	0.446000	0.562000	0.779000	0.745000	0.340000	0.601000	0.624000	0.097200	0.060300	0.903975	0.877827	0.834475	0.993287
K00131	1477.980237	76.232438	0.051579	242.000000	253.000000	1.045455	0.208731	253.000000	6.660000	6.308000	5.790000	5.620000	4.758000	3.581000	0.478000	0.482000	0.007900	0.134000	0.343000	0.415000	0.482000	0.549000	0.644000	0.774000	0.924000	0.745000	0.267000	0.439000	0.413000	0.101000	0.043700	0.901529	0.988861	0.816396	0.999095
K00133	1052.251502	44.304870	0.042105	2319.000000	2497.000000	1.076757	0.277373	1793.000000	0.804000	0.706000	0.595000	0.500000	0.370000	0.269000	0.165000	0.009480	5.570000e-04	0.001110	0.001670	0.003340	0.009480	0.047400	0.174000	0.365000	0.590000	0.748000	0.158000	0.506000	0.499000	0.116000	0.095500	0.991482	0.996528	0.991848	1.000000
K00134	1043.489538	129.657154	0.124253	2261.000000	3250.000000	1.437417	0.682394	2345.000000	0.469000	0.452000	0.432000	0.401000	0.323000	0.253000	0.126000	0.002980	4.260000e-04	4.260000e-04	8.520000e-04	0.001270	0.002980	0.010600	0.020800	0.173000	0.556000	0.725000	0.261000	0.488000	0.478000	0.101000	0.077100	0.990301	0.990124	0.992458	0.998831
